,Tweet,Sentiment
58,Radio hukkam par bhi is hawale se dabao dala jata ke wo apni nashriyat mein Attaullah Esakhelvi ko madaoo karen aur aakhirkar majboor ho kar Attaullah Esakhelvi se radio Pakistan aane ki darkhuwast karni parhi,Positive
59,70 ki dehaai ka yeh wo zamana tha jab Attaullah Esakhelvi aik cassette ki recording ka muaawza 1 lac rupees liya karte the,Positive
60,"Tahum radio par songs ka muaawza inhe 60 rupey ka cheque mila, jo inho ne cash nahi karwaya aur aaj tak sambhal kar rakha hua hai",Positive
61,Sirf yehi nahi bal ke radio par recording se qabal inhe audition ( Awaaz Ki Qaulity ka Imtehaan ) kea mal se bhi guzarna parha,Positive
62,"Phir aahista aahista un ki singing ne tabqa ishrafia ke drawing rooms, cars ke sound systems aur video libraries mein jagah bana li",Positive
63,Beron e mulk basne wale Pakistani jab Watan aate to doston aur aehbaab ki farmaiysh pori karne ke liye barhi tadaad mein in ke cassette tohfatan le kar jate,Positive
64,Is tarah Europe aur Mashriq Wastee mein bhi wo Pakistan ki aik manoos aur maqbool awaaz ban gae,Positive
65,1980 mein inho ne pehli martaba British ka tour kiya to wahan bhi dhoom macha di,Positive
66,Diyar e ghair mein basne wale in ke songs sunn kar apno ko yaad karte to in ki aankhon se aansoo rawaa’n ho jate,Positive
67,Naujawan ladke aur ladkiyan walihana raqs karte to gorey bhi be saakhti ke aalam mein in ka sath dete,Positive
68,England aamad o raft ka silsila shuru hua to aik Pakistani nasaad British ladki ko dil de bethe,Positive
69,Is tarah wo aaj tak sab ke Lala he hain,Positive
70,Yeh aezaaz ab tak Attaullah Esakhelvi ke paas he hai ke recording aur farokht hone wale cassettes mein sab se ziyada in ki singing ke he hote hain,Positive
71,Inho ne hukomat e Pakistan se tamgha e imtiaz hasil karne ke sath Malika British se life time achievement award bhi hasil kiya hai,Positive
72,1994 mein in ka naam sab se ziyada audio albums recorder karane wale singer ke hawale se Guinness Book of World record mein bhi darj tha,Positive
73,Torkham se Karachi tak truck drivers ka safar un ki awaaz ke sath hota hai,Positive
74,"President Ayyab Khan, Mohtarma Fatima Jinnah, baaz dosri shakhsiyat ki tasaweer to beshumaar trucks ke aqbii hisson par bani nazar aati hain, Lekin Attaullah Esakhelvi mulk ke wo wahid artist hain jin se wabistegi ka izhaar buses aur trucks ke piche tasweer banwa kar bhi kiya jata hai",Positive
75,She played a fantastic role in the drama serial “ Aangan Terha ” with Shakeel Siddiqui and Saleem Nasir ( Late ),Positive
76,Bushra ansari received many more different prizes and awards in her life,Positive
77,She received an award of Pride of performance and Women life achievement award from Benazir Bhutto,Positive
78,She won the PTV award and Lux style award also,Positive
79,Bushra ansari performed interesting role in the film “Abhi To Main Jawan Hon” from Geo TV,Positive
80,"Yeh beyk waqt actress, singer, host, comedian and drama nigaar ke taur par pehchani jati hain",Positive
81,Inka har andaaz munfarid aur har roop judagana hai,Positive
82,"sanjeeda acting, comedy, parody, singing, hosting aur ab drama nigari",Positive
83,Inho ne har field mein apna loha manwaya hai,Positive
84,Jis se in ki do betiyan hain,Positive
85,Intehai masroof aur mashoor fankara hone ke bawajood inho ne aik biwi aur maa ka role pori zimmedari se adaa kiya,Positive
86,Bushra apni family se bohat ziyada attached hain aur fursat ka tamam waqt ghar walon ke sath he guzarti hain,Positive
87,"Career : Bushra Ansari sirf 9 saal ki umer mein he PTV ke children music show, Kalbon ki Mala ki regular performer ban gai thin",Positive
88, To Farooq Qiaser ne inhe apne show Kalliyan ke liye muntakhib kiya,Positive
89,Is ke ilawa wo show ke deegar roles ke liye bhi songs gaya karti thin,Positive
90,"Bunyadi taur par yeh bahon ka show tha, lekin ise har umar ke nazreen barhe shauq se dekha karte the",Positive
91,Bushra ne sab se pehle Iqbal Ansari ke aik drama mein acting ke johar dikhaey,Positive
92,Lekin Bushra ko sab se ziyada shohrat Anwar Maqsood ke show Shosha se mili,Positive
93,Jis mein bushra ne bijli ka role adaa kar ke meyla loot liya,Positive
94,Yeh character itna popular hua ke jab kabhi Bushra Ansari kisi show ke silsile mein beyron e mulk jati to in se bijli ka character karne ki farmaiysh ki jati,Positive
95,"Bushra Ansari ka aik aur aeham show Aangan Terha hai, jise Anwar Maqsood ne likha aur us mein inho ne Shakeel Siddiqui aur Saleem Nasir Marhoom ke hamrah yadgar performance di",Positive
96,Comedy shows ki bat ho to sab se pehle PTV ki tareekh ke maqbool tareen show Fifty Fifty ka naam zehan mein aata hai,Positive
97,is show ko maqboliyat ki bulandiyon tak pohnchane mein Jahan Ismail Tara aur Majid Jahangir ki lajawab performance ka dakhal tha to Bushra Ansari ne bhi apni parodies ke zariye is show ko kamiyab banane mein koi kasar na chori,Positive
98,inho ne chehre ke tasurrat aur body language ke zariye in roles mein jaan daal di,Positive
99,"Bushra Ansari ne har umer ke role adaa kiye hain, jin mein young, udherh aur old age sab he shamil hain",Positive
100,"Personality : Bushra Ansari ko sirf acting mein he malka hasil nahi, bal key eh aik shandar shakhsiyat ki bhi malik hain",Positive
101,Yeh guzishta 40 saal se mini screen par apni salahiyaton ke johar dikha rahi hain aur din ba din in ke har sitaron ki tadad mein izafa hota ja raha hai,Positive
102,kyun ke wo janti hain ke waqt ke sath sath apne kaam mein kya tabdeeli lai ja sakti hai,Positive
103,"dilchasp harkaat, dilkash personality aur khobsurat chehre ki malik Bushra Ansari har umar ke nazreen mein popular hain",Positive
104,Chand maah qabal inho ne Geo TV ke show Dolly ki Aaegi Baraat mein Saima Chaudhry ka role play kar ke is serial ko mazeed dilchasp bana diya,Positive
105,Yaar yeh be fitt ha.,Positive
106,Ap to hero ho  . Autograph do na 😂😂,Positive
107,Autograph milay ga ..zroooor milay ga,Positive
108,hahahaha ye acha hai :P,Positive
109,Apka zehr mjh pe b nae axr kry ga i hv antizehr of ur zehr 😒😊,Positive
110,HAahah...han zroor....yar mjhe acha lgta jb yeh ese post krte,Positive
111,Hahahaa...qasmay dil ki awaz h meri ye page :-D,Positive
112,aala :D :D,Positive
113,app k dil ki bhi. :),Positive
114,buht achi bat kahi he,Positive
115,uff yeh apki paakbaaz soch :'),Positive
116,Cara Jvd bilkul aisa hi kuch main apko b kehna chahti hn :D,Positive
117,Hahaha wah saen wah 😂😂😂,Positive
118,Baari ap to famous ho gai hain ♥,Positive
119,Hahaha... ye time ni nikal skta... u r too demanding girl,Positive
120,Khushi se hori hy itne likes dekh k,Positive
121,Ufff dono kis trha parri hain :D:D chalo na krwao :p,Positive
122,Akhir student kis k hnnnnn...😂😉😂,Positive
123,Ji bilkul paisaaa wasooool comments,Positive
124,aap tau millionaire ban jaen gee,Positive
125,"Pskistani jawano, lagatay raho imran khan k doz. aik din number one per aa jAo gay
Tabdeeli",Positive
126,Hahaha  tum to hurr jaghaa famous ho <3,Positive
127,caption khass ap ky liye :'D,Positive
128,Saas bahu ka rishta Nawaz Sharif r mamnoon Hussain ko bhi peeche chore de 😂😂😂,Positive
129,"Apnay kharchay khudd uthaa saknay wali independent aurat ko, jo bghair kisi py depend kiye aur bghair kisi ki faaltu bakwaas sunay, (k g mein tou boht azeem aadmi hun k o biwi, tumhara kharcha uthaa rha hun) izzat k sath zindagi guzaar rhi ho, ussay kehtay hain kaamyaab aurat.",Positive
130,Meri nazr me kamyab orath wo he Jo khud mehnat or himmat kr k apna career bnaye or peso k lie kisi mrd ki mohtaj na ho.,Positive
131,...talaash jaari rakhein aap aik din kamyaab aurat banein gi..😂😂😂,Positive
132,Inshallah hum dono kaamyaab rhen apne naik iraadon mein😂😂😍..tune tou shiad dhond liya😂😂🤔ya abhi bhi talaash jaari😂😑,Positive
133,Pta Ni Kahan hoty Hain aese kamyab mard 😁,Positive
134,Hehehehehe unmarried hona chahiye bs 😁,Positive
135,Oooppss to phle bolti na dash mjhe lga Meri pysri dost mere liye soch rhi hai 😂🤣 chal tu rakh Lena😁,Positive
136,kamiyab aurat bnna chahti hun meri sadgi dikh mai kya chahti hun 😂😂,Positive
137,Mai khud kamyab bnna chahti ho samw khwab hai hmare yad nae tme😂,Positive
138,Meri jesi kamiyabiyan na karna tum log... go for a mzeed rich bitch!! ✌🏻,Positive
139,mil jae ga dnt worry,Positive
140,Dekho wo hum ny reject krdia na ye b kaamyabi hi hoti hai😂,Positive
141,32k mn kia hoga yr xD,Positive
142,Abhi 5o party shoro hoi he,Positive
143,Jo wife ko apni pay k mutabiq kharcha krae wohi kamyab mard hy,Positive
144,Hahaha  kal ki debate k baad kamyab aurat ka award aap ko jata hai,Positive
145,Hahahaha shukria shukria,Positive
146,yani hum dono kamyab hain 🤣🤣,Positive
147,kyn k tu khud ek kamyab aurat hai lol apni mehnat se 🤣🤣,Positive
148,mere pas kamyaab maa hai. 😂😂😂😂,Positive
149,Yeh tou hai mard apni biwi ki kismat say hi kamaata hai,Positive
150,Hum hun gay kamyab aik din ,Positive
151,Mene dhoundh lia akhir 💃👫 😛😉♥️😍  I m lucky 😁🤫,Positive
152,hum honga kamyab aiek din🙈🙈😂😂,Positive
153,Allah Tallah hama b aisa hi banda da 😂😂😂😂,Positive
154,hum 2no e kamyab hain 😀😀😀😀,Positive
155,wo kya hai k meiny apny kharchy mukhtasir krny ka soch liya hai🤣,Positive
156,hum kaamiyab hein 😉,Positive
157,Jab dono khameeyab Haan tou Bari kushe ki bat ha jasy men khmeeyab mard,Positive
158,Allah khair kay ga,Positive
159,Alhamdulillah me kamyab aurat,Positive
160,bilkul sahi kaha,Positive
161,bhai app kamyab hain 😂😝,Positive
162,Although ham nay apny kharchay kam kr liay han hahahahahahah,Positive
163,MashaALLAH ALLAH pak sb k leay acha keray ameen,Positive
164,ameen han sana no extravagence,Positive
165,bt dil ko achi lgi.,Positive
166,Point pe hy puray 😋,Positive
167,ye hoti hai kamyabi 😂,Positive
168,"Koi ni, perfectly imperfct tou mil jye ga😉",Positive
169,Mil jaye ga .... Apna dhondh ln phir tmhry leay b 😉,Positive
170,"Haha acha chlo koshish krna dono bhai hon, aur bara vala mra🤣",Positive
171,Haha pgl choty bhaie wali zyada faidy m hoty sb set hoa va milta jithani g 😂,Positive
172,"Har pal har dum azam hmara
Sb sy perfct jo vo shakhs hmara😂😂😂😂",Positive
173,Lkn phr b roub tou bari ka hi hota😂,Positive
174,Yr wesy mil k sb ko set kr dyn gyn 😂,Positive
175,Ptq ni ab set krengy ya khud set hongy😔,Positive
176,Bs sai wa swery fir uni da hostel done ay :-D,Positive
177,Haha idea bura nai tha wesy chalo nxt sae 😎,Positive
178,"Xactly,cup apna,spoon apna... SAKOON APNA ....😜😛",Positive
179,Aisaaa hi hai...,Positive
180,tere lye bday gft mil gya😉,Positive
181,koi issue nai bhale mera cup use karen 🤣 beta meri bottle b har koi use karta hai,Positive
182,Pyar bharta h ase,Positive
183,Kiaa pata behna shareef ho,Positive
184,shareef hi hai,Positive
185,tm dost ho yar keh skti ho,Positive
186,me idhr b aisi hun apko islamabad ka shak pra rehta🤣,Positive
187,Alhumdulilah ghalazat to nhi hai 😈😯👊👊👊👊👊,Positive
188,hahahhaahaha me to kahin sa b maesna ni lgta .tumhain pta ni kaisay lgta,Positive
189,Hahah hum bi apko sharif hi smjta han jnb,Positive
190,Haha Haha haye mei war jaon🤣🤣🤣,Positive
191,tm mere kch kehne se pehle he smjh jatay ho sb,Positive
192,Woh to MASHA'ALLAH se meri qabliat Hai.. ,Positive
193,Aur masoomiyat bhi ,Positive
194,ye apke liye likha gaya hai ... area per square eench :P,Positive
195,Bhai main ek shareef insan hon :-P,Positive
196,yd h aik mohtrma hua krti ti shareeef tareeen bibi 😂😂😂,Positive
197,Haha...mtlb main shareef nazar aati hun...😜😁,Positive
198,Wyse main shareef hun b...😂😉,Positive
199,no galazaat,Positive
200,Wo to shukar hy aesi technology ai nh abhi😂😂,Positive
201,shreef bcha,Positive
202,hn hn bohot shreef,Positive
203,Bolti rahu but ma messani ni,Positive
204,bht saaaf or shareeef hun koi ghalazat nai 😂,Positive
205,wah wah kia soch pyi hy shahneez😂,Positive
206,dair aye pr drust aye 😂😂,Positive
207,hi rabi tu kitni famous hu gai,Positive
208,😀 meray shareef dost,Positive
209,Hell true :-/ waday tusi sharif hunh,Positive
210,Han koi shak ni,Positive
211,pyari baat,Positive
212,....ap k liay kuch khoobsurat batain😎🤗,Positive
213,Haha dafa karo aj kal ghlazat sy door he rehta hun :-D,Positive
214,Ap b shreef hain isi leye mn apko shareef lgi 😊😂😂😂😂,Positive
215,Sahi Kaha😂😂,Positive
216,Shabash khabeesni ..sahi boli aik dum !!,Positive
217,Aur tm safai se kr jati ho 👊🏻👊🏻😒,Positive
218,Saif tumhry kapry nusrat api pehan sakti hain...nhi na... tu phir...,Positive
219,Moqay py choka,Positive
220,Sb hi mazay k hain,Positive
221,aja pilati😝😝,Positive
222,Janeman sari chizaaay kehlaooo gi treat pr,Positive
223,Dabba Khali is liye ho ga kyun k tum kha chuki ho gi na 😂😂😂,Positive
224,Sharab pin gy wd sheesha 😂😂😂 sutty lgain gy jani sutty,Positive
225,ye ly or fkr na kr hm 7 7 hain,Positive
226,Peene wala bann aja.. tujhy sahi se coca cola pilaoga..,Positive
227,Buri bat achhy bchchy galiyan nhi dety,Positive
228,nhe tum itna taradud na kro bus aj ka mera bill tumhari taraf sa ma na sasta ma maaf kea😎,Positive
229,ap mahaan ho ap india chaly jao 🤣,Positive
230,anum tum kini pyari ho,Positive
231,Bas bas bhan itna pyar na do samhala nae jay ga😂😂😂,Positive
232,aray is se b ziada don gi ane to do😄,Positive
233,Achha krti ho,Positive
234,Sae kha,Positive
235,Allah ka shuakr hy ye tw hum per 😂,Positive
236,changi gal hy,Positive
237,hum girls hn isliye judge kr skti hn but as a psychologist nhe kr sktien...ajeeb bat h😂😂 mem ko btaen gy hum kr skti hn judge bcoz we r girls😈😝,Positive
238,tab main tumain btao ge na 😂 aur bhe maza ae ga,Positive
239,ya ya.. they have all rights to do that with out any regret 😂,Positive
240,Hahhahaha kesy hm apny points ko defend krty hy use hm BBA krny k bad bhi lawyer bn skty hy 🤣🤣🤣🤣🤣,Positive
241,wo to hm bne bnaye hain 😉 😂😂,Positive
242,Hehehe bs kbhi Gharoor nhi keya😂😂,Positive
243,"Hahaha ap Tu bhot ""masoom"" Hain 😂😂",Positive
244,Don't care :-D..judge kro hamen or saro :-\,Positive
245,"our ""Aja khedeye"" is zada cute 😂😂",Positive
246,Uper waly portion will always welcome them😂,Positive
247,Hahaha a jaoo yahe kam best haii ab 😂😂😂,Positive
248,Or check kr hamari predictions almost such b niklti then :D hahaha,Positive
249,Or baray achay say Yeh kaam hum anjaam detay hain😄😂,Positive
250,bs dehko urdu agye parhna :')😂😂❤,Positive
251,Hehehehe wo b spcl logn koo judge kia jataa naa meshhhhiii proud to b spcl one😂😂😂😂,Positive
252,Tmara pasandeedaaa kam :-D,Positive
253,fav kaam hai hummara yaar.,Positive
254,hmri jugjmnt kaml ki ha nw 😛😂😂😂😂,Positive
255,Hahahaha bht hi enjoy karty thy hm gari me fiza k sath b ..,Positive
256,O haan fiza Hahha usy kdr bhool skty hahahha,Positive
257,Hahahahahahahahaha chalo chalo naiki aur pooch pooch 😂😂,Positive
258,"Tu jahan mein wahan, meri aziz:')",Positive
259,😂😂 men samjha ap ne likha h ao logon ko haj kratay hen lol,Positive
260,behtreen hogaya 😂😂😂,Positive
261,Jao ja k hajj kro,Positive
262,ajao yah hmara fvrt kam ha 😁,Positive
263,Hahaha hum to master hain is kaam mein 😂😂,Positive
264,ajao...ajj main mood main houn,Positive
265,Haa sahi gaalh aaah..,Positive
266,ao un k gunah kum krty hain 😂😂😂,Positive
267,Aur unhy pak krty hain😂😂,Positive
268,tbi wo white lgty hain 😂😂,Positive
269,Hmari tu prediction b sahe hoti hai,Positive
270,fiqr na faqaa aish kr kaka,Positive
271,"Jaani grand party hogi I am overexicted for your day😎😂❤
 Tu lagdi Lahore ki cause Tera Mohn chetaa hath kalay💁😂",Positive
272,Hahahah hawn kh dn gii😂 tm b mera taraf sy uncle aunty ko shukriya kh do😁,Positive
273,Hahahahah idea axhw h  api,Positive
274,Jizroor ..... Mei apne aunty  ka dilse Shukriya Ada krti huu 😂😂😂😂,Positive
275,anty ko thanksss bol...anty I love you😍 thanku so much😂,Positive
276,Mera to Salam bol pair chhuuuh anti ne mjhe Jo btya tha hahahahahahahahaha,Positive
277,yes of course i'm thankful to your parents namooni :* <3 <3,Positive
278,aunty ka bhot bhot shukriya krdena meri trf se,Positive
279,phupo ko thanks bolin meri trf sy bht bht 😂😂😂😂😂😂😂,Positive
280,Uncle anti ko dill ke gahriyoen sa thanks bolna mere traf sa 😍😂😂😂,Positive
281,aunty uncle ko yaad se thnku bolin meri taraf se 😉😂,Positive
282,aunty k lie meri taraf se aik chummi idhr aik chummi idhr :'),Positive
283,Woi naa khushaal gharanaaa hamra😂😍,Positive
284,bht shukria rna m apni dil diyan gallan kisko sunato😅,Positive
285,....mairi taraf sy uncle aunty ko thanks bolna,Positive
286,uncle anty ko meri taraf syyyh buht buht shukriaaaa kehna 😂😂,Positive
287,Hahahah ok ok Aur meri taraf say be uncle aunty ko shukriya keh Dena 😂😛,Positive
288,apny apny ami abu ko mri trf sy shukria. Bl dy,Positive
289,Hahahaha meri trf se b uncle aunty ka dhanaywaad😝😝,Positive
290,Kancha item dia h inshort😂😂😂😂,Positive
291,meri zindagi k tum anmol namonay 😝,Positive
292,Hahaha dekha hamari importance 😉,Positive
293,Dekh lo beta hum namono k bagair tumahara guzara bhi nahi 😉,Positive
294,shukriya bht bht aapke parents ka k mujhe yeh gift diya unho ney 🎁🎁,Positive
295,thank u uncle anty 😘😘 warna mai incmplte rh jati 😅😅,Positive
296,shukr hy ye namoona peuda kya. Thanks to uncle aunty 😂😂😂,Positive
297,By itkhtyr qahqa laga h myra😂😂😂😂 tm b bst sy opr ho,Positive
298,Hahahahahahahahahahhaha haso haso wanjo kri krto😁😁,Positive
299,tmahari ammi abu ka shukrea tmhari birthday pe kea tha ada mene..  ab tmhari b aari birthday unka b krungi😚😚,Positive
300,apni mama ko zarur thanks keh dena from my side 😘😘😘 loveeee bohat cute ho tm,Positive
301,Aunty ko bhttt bhttt shukriya kehna,Positive
302,Hahahahaha bas bas is khushi Mai Kal dilpasnd ki meethai le aana,Positive
303,humy  k parents ka shukriya krna chahiye,Positive
304,uncle aunty ko meri trf se 21 topon ki salamiii....😂😂,Positive
305,aunty ko mri trf se thanku bol dena with kissy,Positive
306,Its a Great Pleasure😉😂,Positive
307,mn khudhh aungi specially,Positive
308,dill ki gehraion se dhanywaar 😂,Positive
309,.😂 Thanks boldenA meri taraf Se,Positive
310,thank u bol apne parents ko meri taraf se 😂,Positive
311,Hahah wai I owe a special thankyou party to uncle n aunty then 😜,Positive
312,"D ke la ma ta tag koli,BTW a big thankooo😘😘😍😂",Positive
313,Beshak 😂😂 kissi or k bas ka kaam nh ya 😂😂,Positive
314,Sana Butt Should i tag your mama? 😂,Positive
315,tum na paida hti to kya hta mra,Positive
316,mama ko zaroor thanks kahin 😂😂😂😂😂😂,Positive
317,k momy daddy apka thankyu 😜😜😜,Positive
318,Thank u mommy daddy 😂😂😂tu tau nawafil parh apne ami abu k liye #iykwim😆😉,Positive
319,Yeah cx they deserv .... akhir koi km karnama nae kia shukrany k nafanil ada krny hi chaheay 😜,Positive
320,meri taraf se bohat shukriya.. :p,Positive
321,aunty specaily ap ka bht shukriya😂😂,Positive
322,antiii ne bht naik kaam kiya 😅❤,Positive
323,I grateful to ur parents 😂😂,Positive
324,Thank you so much aunti 😁,Positive
325,Main tou fakhar kar rahi hun 😂,Positive
326,Alhamdulillah ❤,Positive
327,mai shukar guzar hn ami abu ki :-/,Positive
328,special mili hon bai mein touuu,Positive
329,thankyou bolna ami baba ko 😂😂😂😂😂,Positive
330,ama ko thanx kehna apni😂😜,Positive
331,Still u r my buddy 😘,Positive
332,", 😂 Aunty Fari ko shukria kehna 😂",Positive
333,tell Aunty bauhat shukria 🤣,Positive
334,Haha i love u so much meri jan,Positive
335,thanks to parents,Positive
336,thankew sooo mch anty 😁😁,Positive
337,Hahaha .... ma zaror karu g,Positive
338,Hahaha thk ha g zror krna,Positive
339,😁😁👍,Positive
340,phupho thanku ❤️,Positive
341,thank u JAAN G 😉😜,Positive
342,Uncle aunty ka shukriya ada karna :D :P,Positive
343,uncle aunty shukriya karna 😂😂,Positive
344,Lol same to your parents as well,Positive
345,bht hi na shukari ho waisay,Positive
346,hahahhaa shokhi,Positive
347,Shukriya shehzadi auntie,Positive
348,meri maa ko khushi honi🤣,Positive
349,Anyaa ye tm.ne kha tha mjhe😂😂😂❤💋,Positive
350,Lol,Positive
351,aunty ko shukria kehna :D,Positive
352,Okay 😂,Positive
353,yaar apne mamaki id btaaa,Positive
354,chor tujhe unki nazar mn girana nhi chahti 😉,Positive
355,:D :D bs dil se dil ko raah hoti hai :D,Positive
356,Hahahahaha wah,Positive
357,uncle ko tag kron.?,Positive
358,Tum kro or agla 1 ghanta bad face to face thanks krna aya ga,Positive
359,robina aunty ka shukria adda kr dun unhe add kr ke 😂,Positive
360,Heer Naqvi,Positive
361,Hassan Husnain,Positive
362,reply kia na,Positive
363,Mjhay nahi tag Kia 😑🤬,Positive
364,YE aunty ko dikha do Please :D,Positive
365,uncle aunty ka num de,Positive
366,Haniya Khan.,Positive
367,Hahaha😂,Positive
368,Aunty i love you ❤💛,Positive
369,Zaib Usman😂,Positive
370,Hadia kh,Positive
371,atiya nisar,Positive
372,Tmhari ami ko b 😂,Positive
373,Haha Razzaque bhai ko b😂😂😂😂,Positive
374,Me b cemnt agency walo ka bra shukrguzar ho hahahah,Positive
375,aunty bht bht shukriya😂😂♥️,Positive
376,Hahahhahah😂,Positive
377,Heheheh..:)),Positive
378,Tumhari ama ko na??,Positive
379,Tag them please! !!!😍😍,Positive
380,Hahahaha main is main tumhain tag karnay wali thi.. 😂😂😂😂😂,Positive
381,Jo chpairh wo maarain agay se uska kya??😯,Positive
382,Anty uncle ko kehna zra😉😁,Positive
383,You too :p,Positive
384,hate u,Positive
385,Seriously Ajoobaa 😜,Positive
386,thank you much...one of a kind hun afterall...:D:D,Positive
387,Lol namoona nai anmol 😍,Positive
388,😂😂😂 apni amma ko prha dena plx 😂😂😂,Positive
389,Lkn mea q,Positive
390,pass on the message 💜😂,Positive
391,"hahaha, ni ye meri traf sy anti ko dikhao😂😂",Positive
392,Tmra knsa muun ni ha😕,Positive
393,Inbox kr dn gi.,Positive
394,say my thanks to uncle and aunty 😍😘😂,Positive
395,Love you too my honey 😘😘,Positive
396,Hahahah,Positive
397,naughty girl,Positive
398,hahhahahahha me bhi bolti hn rk,Positive
399,hahhahahha thanks fakhira parveen aqal deny k liye,Positive
400,Heheee,Positive
401,Aunti add hi ni warna me unki shaan me qaseeday likhta 😭😂,Positive
