,Tweet,Label
80,"""Jo auratain aurat march ka ghalat faida utha kar ghatya slogans ko promote kar rahi hain, yeh aurat ke asal masaiyal se dehan hata kar har aurat ke sath bht zulm kar rahi hain. Aur zulm ke khilaaf Allah behtreen faisla karta hai. #AuratMarch #AuratAzadiMarch #MeraJismMeriMarzi""",Neutral
81, tujh jesi ghatiya aurat ko hum bhot he ghatiya nazer say dekhty hy,Abusive
82, tujh jesi ghatiya aurat ko hum bhot he ghatiya nazer say dekhty hy,Offensive
83, Esi soxh k sth hen educated persons Thankx Sister 1 educated and islami aurat e esa soxh skti hai,Neutral
84, Shuttle cokc burky mein nojwan aurat ko bhi bhurria samjh kr murd tawju nahi Karty jabk modern dress mein bhurria ko bhi ghorney see baaz nahin aate,Neutral
85,Aurat ko chup ni rehna chahye.. tik tok py fahashi pehlaani chahye 🧐🤷‍♀️,Sexist
86,Aurat apni boundaries main he achii lagte hai💕Allah nay malka bnya hai💕,Neutral
87, Begerat shaks is trah ky word behaya aurat par implement hoty hain or marvi sarmad ak behaya aurat ha is trah ki behaya aurty hmary mulk ki aurto ki tarjamani ni karvsakti. Mansor sab agr gerat or ego khatam ho gai ho to zra marvi ky tweet check kro agr psand ay ghr dekhao sorry,Abusive
88, Begerat shaks is trah ky word behaya aurat par implement hoty hain or marvi sarmad ak behaya aurat ha is trah ki behaya aurty hmary mulk ki aurto ki tarjamani ni karvsakti. Mansor sab agr gerat or ego khatam ho gai ho to zra marvi ky tweet check kro agr psand ay ghr dekhao sorry,Offensive
89, Aur jesi ghatia aurat ke mun se ye bat achi ni lagti. Logon ko garam karnay wali machine.,Sexist
90,"""Hamesha se aurato ne aurat hony ka bht faida uthaya ha..  Bill jama krwana ho, bank ka kaam ho, Kisi b shop se kuch lena ho etc..  Yar larki ha isy phly jany do..  Akhir kis kism k haqooq chahti hain ye sick mind auratain..   #StopAuratBarbadiMarch  #WeRejectMeraJismMeriMarzi""",Neutral
91,"""Daro us din se jab mardo ne apny haqooq k lye Awaz utha li..  Bachpan se le kr ab tak hamesha as a girl honor mila ha. Galti chahye larki ki ho, dant phr b larky parti ha, Pakistan me aurat ko bht izzat mili ha siwaye kuch sick mind logo k..  #StopAuratBarbadiMarch""",Neutral
92,Parda Muslim aurat k chehry ka noor hy❤,Neutral
93, Aurat ko gali ni di kisi dyin ko gali di  ha isliay hum geo k sab channel ka boycott kartay hain jis Pakistan k norms ko khatam karnay wali dyin ko support kia,Neutral
94,  Nhi to aurat march walon ne tere saray haq wapis le lene hain.,Neutral
95, Agreed ; jest Firdous ashiq awan bhi Aurat march k against hain .,Neutral
96, Jitna Ehtram oor Azadi aurat ko Mazhab Islam main hai Kissee oor Mazhab main nahi .,Neutral
97,#StopAuratBarbadiMarch Who are you for arguing our tradition and Islamic manners you bluddy 2 Takay ki Aurat   .,Sexist
98, Jab sare Haya march mein pohnch jaein ge toh iss march mein Aurat march se bhe zeyad behayai hogi.,Neutral
99,  Apni behn ko bhejo gay na aurat march me??,Sexist
100, Aurat ki mrzi shamilhal na ho mrd hath b nai lgata Yaha shadi shuda mrd b bazoqat aurat ki razamandi chabta hota ha  Yanni k ye sb aurat pr depend krta,Neutral
101,Aurat Ko Azadi nh  Aurat ko Rights chahye  Or yh wo baat h js mn 80% male Women ko support b krty hn ...  What a Cheap Agend behind all this Azadi March . #AuratAzadiMarch,Neutral
102, Iska jwab hoga aurat k khana grm kr k bistr na grm krny pr shohar ny qatal kr dia hmm?  What nonsense! 😪  O bibi jin alfaaz k dual or gair akhlaaqi meanings hon unka istemal ni kia krty agr mzak ni bnwana apna 🙏 ... hairat h itni si aqal b ni seekh sky tm itna prh likh k b? 💔,Neutral
103, lanat bhejty hain hum aisy channel pr... or un pr jo us moty sand ko aurat smjhty hain,Abusive
104, lanat bhejty hain hum aisy channel pr... or un pr jo us moty sand ko aurat smjhty hain,Offensive
105, O bharway Apni beti ko bhi bhej aurat march aur slogan lagwa us mera jism meri marzi Lund ka Sira,Abusive
106, O bharway Apni beti ko bhi bhej aurat march aur slogan lagwa us mera jism meri marzi Lund ka Sira,Offensive
107, Aurat March Se Tumhaara Kya Laina Daina.. Tum Khueaaja Sara March Ka Intezaar Karo Jis Main Wo Ye Demand Rakkhain Ke Gaahkon Ko Paaband Kiya Jaye Ke Sex Ke Dauraan Humaari Tashreef Par Charas Waaley Cigerette Na Bujhaaya Karain 😂😂🤣,Sexist
108, Sahi Kehtey Hain.. Kuttey Ko Kheer Aur Aurat Ko Zaroorat Se Zeyada Mohabbat Hazam Nahi Hoti.🤔🤔🤔,Abusive
109, Sahi Kehtey Hain.. Kuttey Ko Kheer Aur Aurat Ko Zaroorat Se Zeyada Mohabbat Hazam Nahi Hoti.🤔🤔🤔,Offensive
110, Bachy pehle tera dimag tail lene gya tha.....ye sb us ghleez aurat ko defend krne se pehle sochna chahye tha naaa. Aur tum ny jo khaleel ur reham ko bkwas ki thi uska hisab kon dy ga ?,Abusive
111, Bachy pehle tera dimag tail lene gya tha.....ye sb us ghleez aurat ko defend krne se pehle sochna chahye tha naaa. Aur tum ny jo khaleel ur reham ko bkwas ki thi uska hisab kon dy ga ?,Offensive
112,  No one is supporting Marvi but yeh kya koi language hoti hai aurat say baat karnay ki? Is that how you talk to women? KUR is a disgusting man and everything that he writes is straight up trash.,Abusive
113,  No one is supporting Marvi but yeh kya koi language hoti hai aurat say baat karnay ki? Is that how you talk to women? KUR is a disgusting man and everything that he writes is straight up trash.,Offensive
114,RT : Hello guys ! Hm kuch dost sunday ko aurat march k khilaf aur haya aur hijab k haq mey ek trend karen gay insha Allah,Neutral
115, Ino aday qutay awli krna 2 taky ki yh wali aurat marvi sarmad,Sexist 
